EAR,MAR,LABEL
0.2895,0.0211,Alert
0.2792,0.0151,Alert
0.2776,0.0,Alert
0.2829,0.0,Alert
0.2975,0.0,Alert
0.2977,0.0185,Alert
0.2975,0.0,Alert
0.313,0.0,Alert
0.3223,0.0,Alert
0.3223,0.0,Alert
0.3344,0.0208,Alert
0.3313,0.0208,Alert
0.3356,0.0213,Alert
0.3384,0.0,Alert
0.3384,0.0,Alert
0.3301,0.0,Alert
0.3309,0.0,Alert
0.3392,0.0,Alert
0.3368,0.0,Alert
0.3459,0.0,Alert
0.3613,0.0,Alert
0.3468,0.0,Alert
0.3364,0.2156,Alert
0.333,0.2678,Alert
0.32,0.322,Alert
0.326,0.377,Alert
0.3202,0.3871,Alert
0.3239,0.4262,Alert
0.3404,0.4429,Alert
0.3471,0.4519,Alert
0.3405,0.4677,Alert
0.3313,0.4762,Alert
0.3321,0.5002,Alert
0.3452,0.5164,Alert
0.327,0.5161,Alert
0.3317,0.5,Alert
0.3313,0.5,Alert
0.3116,0.5161,Alert
0.3121,0.5245,Alert
0.3115,0.5161,Alert
0.311,0.5246,Alert
0.3121,0.5161,Alert
0.3106,0.5248,Alert
0.3401,0.5161,Alert
0.3184,0.5322,Alert
0.327,0.5322,Alert
0.3272,0.5237,Alert
0.3251,0.5237,Alert
0.3112,0.5154,Alert
0.2982,0.5708,Alert
0.3217,0.5553,Alert
0.3137,0.5463,Alert
0.3116,0.5708,Alert
0.3137,0.6029,Alert
0.3032,0.5933,Alert
0.3006,0.5935,Alert
0.3056,0.6091,Alert
0.2993,0.6555,Alert
0.2766,0.6723,Alert
0.2653,0.73,Alert
0.2688,0.7472,Alert
0.2851,0.7925,Alert
0.286,0.7633,Alert
0.2736,0.7791,Alert
0.2895,0.8382,Alert
0.2901,0.7644,Alert
0.2773,0.84,Alert
0.2733,0.815,Alert
0.2615,0.8218,Alert
0.2881,0.8101,Alert
0.2654,0.8247,Alert
0.2705,0.84,Alert
0.2896,0.8563,Drowsy
0.2931,0.9039,Drowsy
0.3603,1.0621,Drowsy
0.2887,0.0,Alert
0.295,0.0,Alert
0.3157,0.0,Alert
0.3115,0.0213,Alert
0.299,0.0,Alert
0.3199,0.0,Alert
0.293,0.0208,Alert
0.3088,0.0208,Alert
0.298,0.0213,Alert
0.2982,0.0,Alert
0.2982,0.0,Alert
0.3028,0.0204,Alert
0.3028,0.0,Alert
0.3038,0.0,Alert
0.3034,0.0,Alert
0.3034,0.0,Alert
0.3034,0.0,Alert
0.2985,0.0,Alert
0.322,0.0937,Alert
0.3124,0.2455,Alert
0.326,0.319,Alert
0.3345,0.2897,Alert
0.3268,0.3182,Alert
0.3395,0.3189,Alert
0.3213,0.3863,Alert
0.3185,0.3863,Alert
0.3233,0.3864,Alert
0.3185,0.4767,Alert
0.3189,0.4882,Alert
0.3328,0.5237,Alert
0.3259,0.5713,Alert
0.3137,0.5993,Alert
0.3254,0.5852,Alert
0.2982,0.6413,Alert
0.2135,0.6498,Alert
0.1316,0.6498,Alert
0.2287,0.6826,Alert
0.2245,0.6582,Alert
0.2245,0.634,Alert
0.2545,0.6748,Alert
0.2843,0.6578,Alert
0.2873,0.6919,Alert
0.2674,0.6663,Alert
0.267,0.6753,Alert
0.2667,0.6344,Alert
0.2673,0.6746,Alert
0.2712,0.6498,Alert
0.2711,0.6242,Alert
0.2708,0.5713,Alert
0.2708,0.4998,Alert
0.2754,0.3488,Alert
0.2708,0.3808,Alert
0.2799,0.28,Alert
0.2873,0.2143,Alert
0.2763,0.1395,Alert
0.3175,0.0698,Alert
0.2887,0.0465,Alert
0.2712,0.0222,Alert
0.2922,0.0,Alert
